               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1083,            0.063498,            0.063817,           0.0065136,            0.092882,           0.0069266,           0.0022444,            0.078067,            0.041933,            0.051296,              0.0802,              0.0022,              0.0022
                   1,            0.080989,            0.067333,            0.050341,             0.48125,            0.088357,             0.04689,            0.013778,            0.057235,            0.055205,            0.042418,            0.059411,           0.0044109,           0.0044109
                   2,            0.067861,            0.061538,            0.039838,             0.67895,             0.10439,            0.071824,            0.019979,            0.059129,            0.036444,            0.035626,            0.038531,           0.0065307,           0.0065307
                   3,            0.067434,            0.056093,            0.036761,             0.67102,             0.22432,              0.1731,            0.053671,            0.058253,            0.029801,            0.031966,            0.017559,           0.0085595,           0.0085595
                   4,            0.066365,            0.054392,            0.035246,             0.70132,             0.22247,             0.16985,            0.061141,            0.055213,            0.031297,            0.030597,            0.009208,            0.009208,            0.009208
                   5,            0.064568,            0.053804,            0.032844,             0.29719,             0.35888,             0.20038,            0.075531,            0.056231,             0.03171,            0.029814,            0.009208,            0.009208,            0.009208
                   6,             0.05973,            0.050232,            0.031844,              0.1532,             0.49514,             0.27645,            0.098583,            0.047516,            0.030945,            0.029046,             0.00901,             0.00901,             0.00901
                   7,            0.054859,            0.051153,            0.031264,             0.18306,             0.44814,             0.28692,             0.10497,            0.046817,            0.027394,            0.027433,            0.008812,            0.008812,            0.008812
                   8,             0.05163,            0.050323,            0.030246,             0.74813,             0.27731,             0.31381,             0.13473,            0.041099,            0.027486,            0.026191,            0.008614,            0.008614,            0.008614
                   9,            0.051391,            0.053047,            0.029002,              0.5429,             0.41722,             0.33344,             0.12656,            0.040557,            0.025692,            0.025922,            0.008416,            0.008416,            0.008416
                  10,            0.048978,            0.048027,            0.028467,             0.22043,              0.4532,             0.36722,             0.16059,            0.036737,            0.027644,            0.025192,            0.008218,            0.008218,            0.008218
                  11,            0.047141,            0.050853,            0.027432,             0.21395,             0.50424,             0.35099,             0.14008,             0.03922,            0.027469,            0.024532,             0.00802,             0.00802,             0.00802
                  12,            0.046659,            0.049494,            0.026159,             0.35012,             0.54167,             0.43967,             0.18221,            0.038879,            0.026967,            0.023109,            0.007822,            0.007822,            0.007822
                  13,            0.047015,            0.047071,            0.025684,              0.2996,             0.47588,              0.4488,             0.20062,            0.036121,            0.027871,            0.022654,            0.007624,            0.007624,            0.007624
                  14,            0.044059,            0.048237,             0.02598,             0.37507,             0.50453,             0.45977,              0.2048,            0.034758,              0.0277,            0.022786,            0.007426,            0.007426,            0.007426
                  15,            0.043151,            0.048885,            0.024786,              0.2845,             0.48878,             0.41154,             0.17153,            0.038197,            0.027488,            0.022718,            0.007228,            0.007228,            0.007228
                  16,             0.04263,            0.049516,            0.024415,             0.37146,             0.57732,             0.49697,             0.23399,            0.034445,            0.028082,            0.021772,             0.00703,             0.00703,             0.00703
                  17,            0.041951,            0.045082,            0.022525,             0.34919,             0.52486,             0.49145,             0.20469,            0.037254,            0.027625,            0.021842,            0.006832,            0.006832,            0.006832
                  18,            0.041877,            0.046881,            0.022154,             0.39232,             0.49223,             0.47219,              0.1998,            0.036357,              0.0262,            0.021593,            0.006634,            0.006634,            0.006634
                  19,            0.040296,            0.046279,            0.022076,             0.42601,             0.50448,             0.47771,             0.21643,            0.036417,            0.027965,            0.020516,            0.006436,            0.006436,            0.006436
                  20,            0.040876,            0.047764,            0.021229,             0.40627,             0.56833,             0.53427,             0.24988,            0.034338,            0.026397,            0.019535,            0.006238,            0.006238,            0.006238
                  21,             0.04006,            0.046247,            0.021996,             0.37474,             0.61823,             0.54462,             0.26091,            0.034559,             0.02587,            0.019559,             0.00604,             0.00604,             0.00604
                  22,             0.03889,            0.044727,            0.021295,             0.40527,              0.5961,             0.52137,             0.23779,            0.033496,            0.026017,            0.019883,            0.005842,            0.005842,            0.005842
                  23,            0.039395,            0.048565,            0.020186,             0.43089,             0.59978,             0.52647,              0.2261,            0.037207,             0.02567,            0.018201,            0.005644,            0.005644,            0.005644
                  24,            0.039908,            0.045966,            0.020177,             0.45523,             0.62712,             0.57768,             0.27218,            0.033596,            0.025298,            0.018224,            0.005446,            0.005446,            0.005446
                  25,            0.038812,            0.047224,            0.018162,             0.61074,             0.63509,             0.57341,             0.25891,            0.033618,            0.025504,            0.018121,            0.005248,            0.005248,            0.005248
                  26,            0.037279,            0.044926,            0.018587,             0.63292,             0.63951,              0.5979,             0.27085,            0.033641,            0.025802,            0.018042,             0.00505,             0.00505,             0.00505
                  27,            0.038201,            0.046055,            0.018821,              0.5065,             0.62744,             0.60067,             0.28694,            0.033581,            0.025692,            0.017393,            0.004852,            0.004852,            0.004852
                  28,            0.038129,            0.044042,            0.019008,             0.51729,             0.62227,             0.56275,             0.25715,            0.034054,            0.026241,            0.017623,            0.004654,            0.004654,            0.004654
                  29,            0.036476,             0.04359,            0.018252,             0.41928,             0.67203,             0.55777,             0.26305,            0.032863,            0.026414,            0.019147,            0.004456,            0.004456,            0.004456
                  30,            0.036251,             0.04553,            0.016619,             0.64823,             0.53561,             0.52299,             0.24416,            0.035659,            0.026821,            0.018891,            0.004258,            0.004258,            0.004258
                  31,            0.036053,            0.044147,            0.017294,             0.49896,             0.54214,             0.53111,             0.24341,            0.035229,              0.0269,            0.016953,             0.00406,             0.00406,             0.00406
