epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,385.789,1.53584,3.4485,1.60103,0.02423,0.60258,0.15198,0.07205,1.49348,3.60256,1.65465,0.00019998,0.00019998,0.00019998
2,751.094,1.48618,2.30004,1.58165,0.91955,0.12755,0.2565,0.12476,1.67874,2.88964,1.8021,0.000400951,0.000400951,0.000400951
3,1106.11,1.41745,1.9361,1.55877,0.89004,0.16065,0.27451,0.13688,1.66118,2.58385,1.81008,0.000593642,0.000593642,0.000593642
4,1457.44,1.39878,1.77481,1.5119,0.70495,0.36383,0.40006,0.19596,1.64821,2.13608,1.8697,0.000778055,0.000778055,0.000778055
5,1811.77,1.36754,1.65327,1.47201,0.66529,0.42076,0.43598,0.20125,1.70751,1.98627,1.93206,0.000837007,0.000837007,0.000837007
6,2178.69,1.39376,1.60812,1.48232,0.5081,0.40165,0.41068,0.17914,1.9185,1.92766,2.26495,0.000819009,0.000819009,0.000819009
7,2539.88,1.35865,1.57797,1.46186,0.68119,0.46951,0.48739,0.23948,1.68742,1.86099,1.87769,0.000801011,0.000801011,0.000801011
8,2891.12,1.33731,1.51885,1.45987,0.47294,0.54331,0.5194,0.24776,1.76768,1.9369,1.93989,0.000783013,0.000783013,0.000783013
9,3246.6,1.3441,1.4777,1.4488,0.58387,0.57814,0.57349,0.27454,1.81067,1.67208,1.97646,0.000765014,0.000765014,0.000765014
10,3601.39,1.35159,1.5177,1.4807,0.47979,0.46548,0.49556,0.23659,1.61987,1.8213,1.81944,0.000747016,0.000747016,0.000747016
11,3958.65,1.29587,1.37138,1.42619,0.66259,0.5403,0.57387,0.27549,1.79902,1.67287,2.11551,0.000729018,0.000729018,0.000729018
12,4308.98,1.29279,1.34859,1.40869,0.5354,0.63525,0.60517,0.29475,1.63045,1.51115,1.81163,0.00071102,0.00071102,0.00071102
13,4662.75,1.29677,1.32472,1.40154,0.52956,0.6559,0.61692,0.2959,1.69308,1.61853,1.85853,0.000693022,0.000693022,0.000693022
14,5028.97,1.25236,1.26879,1.35579,0.58107,0.54212,0.56402,0.24922,1.8433,1.92057,1.92465,0.000675023,0.000675023,0.000675023
15,5387.54,1.22963,1.27094,1.37319,0.60558,0.59731,0.61427,0.29404,1.5144,1.82546,1.6514,0.000657025,0.000657025,0.000657025
16,5758.7,1.19808,1.21788,1.32701,0.66191,0.62796,0.6686,0.33697,1.64531,1.29951,1.78535,0.000639027,0.000639027,0.000639027
17,6113.98,1.23724,1.24451,1.3532,0.63616,0.65826,0.69468,0.36062,1.50974,1.37665,1.64238,0.000621029,0.000621029,0.000621029
18,6465.79,1.23373,1.22773,1.35025,0.63915,0.64284,0.67076,0.34085,1.62522,1.29932,1.75019,0.000603031,0.000603031,0.000603031
19,6819.46,1.20555,1.15765,1.34187,0.70497,0.65535,0.70532,0.35739,1.59416,1.23053,1.72038,0.000585032,0.000585032,0.000585032
20,7172.49,1.19326,1.16585,1.33528,0.63566,0.67813,0.68591,0.34558,1.63905,1.2702,1.88362,0.000567034,0.000567034,0.000567034
21,7540.85,1.19474,1.10653,1.31446,0.62975,0.68235,0.67959,0.35262,1.5308,1.25395,1.68306,0.000549036,0.000549036,0.000549036
22,7893.28,1.2064,1.11071,1.33509,0.64516,0.68695,0.70379,0.35647,1.56363,1.20261,1.726,0.000531038,0.000531038,0.000531038
23,8254.07,1.16619,1.1062,1.31682,0.65326,0.60087,0.66647,0.35354,1.63712,1.23101,1.82552,0.00051304,0.00051304,0.00051304
24,8607.66,1.15741,1.0728,1.32288,0.65217,0.73011,0.70575,0.37476,1.58969,1.16923,1.74832,0.000495041,0.000495041,0.000495041
25,8962.75,1.17553,1.03922,1.31317,0.67217,0.6815,0.72239,0.37333,1.50634,1.1565,1.64696,0.000477043,0.000477043,0.000477043
26,9318.9,1.15098,1.02977,1.28522,0.70352,0.69892,0.72512,0.37038,1.47941,1.19469,1.63722,0.000459045,0.000459045,0.000459045
27,9673.45,1.13413,1.03964,1.27744,0.76872,0.57428,0.70669,0.36105,1.58952,1.31513,1.70632,0.000441047,0.000441047,0.000441047
28,10030.4,1.11489,0.99308,1.26873,0.72589,0.63625,0.7141,0.36513,1.43479,1.16322,1.6178,0.000423049,0.000423049,0.000423049
29,10383.4,1.0948,1.00133,1.26222,0.72781,0.65089,0.72928,0.3782,1.5181,1.10299,1.65888,0.00040505,0.00040505,0.00040505
30,10736.1,1.1046,0.99056,1.25955,0.76781,0.65481,0.71801,0.34064,1.61687,1.15896,1.7668,0.000387052,0.000387052,0.000387052
31,11089.8,1.09688,0.96127,1.26684,0.68298,0.72168,0.72869,0.36195,1.57048,1.13005,1.81545,0.000369054,0.000369054,0.000369054
32,11440,1.07276,0.94199,1.25861,0.65141,0.70745,0.71539,0.3742,1.50722,1.09994,1.67375,0.000351056,0.000351056,0.000351056
33,11791.3,1.09615,0.94992,1.27139,0.694,0.65189,0.72207,0.3738,1.48689,1.11372,1.64673,0.000333058,0.000333058,0.000333058
34,12144.5,1.09591,0.95551,1.26491,0.64896,0.77068,0.72854,0.37924,1.38545,1.09972,1.56461,0.000315059,0.000315059,0.000315059
