epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,430.83,1.54021,3.51466,1.68259,0.00854,0.43691,0.11844,0.05757,1.50426,3.66351,1.69646,0.00019998,0.00019998,0.00019998
2,867.456,1.4571,2.32804,1.57536,0.73498,0.15355,0.23211,0.10428,1.61521,3.37212,1.89949,0.000400951,0.000400951,0.000400951
3,1298.11,1.43767,1.91586,1.56024,0.51399,0.40028,0.3222,0.15885,1.66693,2.42979,1.91767,0.000593642,0.000593642,0.000593642
4,1720.25,1.41014,1.75694,1.51989,0.72984,0.32323,0.40339,0.19767,1.61759,1.94607,1.84624,0.000778055,0.000778055,0.000778055
5,2145.91,1.39361,1.69247,1.53129,0.62792,0.43025,0.45021,0.22162,1.63719,1.82017,1.88643,0.000837007,0.000837007,0.000837007
6,2565.81,1.39183,1.62695,1.50624,0.73821,0.4046,0.45473,0.22665,1.72943,2.07521,1.9641,0.000819009,0.000819009,0.000819009
7,3013.82,1.35795,1.54154,1.49078,0.3879,0.51634,0.46822,0.21849,2.03438,1.92634,2.34581,0.000801011,0.000801011,0.000801011
8,3452.98,1.34415,1.48556,1.48947,0.54372,0.58314,0.53211,0.26178,1.57098,1.5788,1.77333,0.000783013,0.000783013,0.000783013
9,3887.61,1.33204,1.48051,1.47784,0.55626,0.51238,0.49048,0.2392,1.62369,1.78985,1.80838,0.000765014,0.000765014,0.000765014
10,4322.41,1.31769,1.44847,1.47189,0.46458,0.54478,0.55532,0.26428,1.75237,1.88595,2.02888,0.000747016,0.000747016,0.000747016
11,4749.08,1.31226,1.44123,1.48182,0.48257,0.58995,0.5613,0.25597,1.71749,1.64108,1.9473,0.000729018,0.000729018,0.000729018
12,5176.59,1.2736,1.36867,1.44532,0.57505,0.53893,0.55912,0.26057,1.62624,1.47714,1.85355,0.00071102,0.00071102,0.00071102
13,5616.35,1.27077,1.32284,1.42962,0.44952,0.72984,0.60473,0.3109,1.48875,1.39061,1.74604,0.000693022,0.000693022,0.000693022
14,6037.92,1.2611,1.30881,1.44843,0.53801,0.62404,0.60412,0.28711,1.74373,1.36965,1.93816,0.000675023,0.000675023,0.000675023
15,6465.63,1.26077,1.30793,1.43634,0.52739,0.67482,0.61954,0.28633,1.78918,1.37344,1.95522,0.000657025,0.000657025,0.000657025
16,6889.13,1.21837,1.25356,1.39402,0.47673,0.73195,0.62616,0.29656,1.64947,1.33584,1.87746,0.000639027,0.000639027,0.000639027
17,7326.77,1.22514,1.28428,1.42657,0.63356,0.66716,0.65794,0.3184,1.54078,1.26296,1.78701,0.000621029,0.000621029,0.000621029
18,7755.5,1.22686,1.21153,1.413,0.53521,0.71862,0.65202,0.32243,1.67911,1.2554,1.94937,0.000603031,0.000603031,0.000603031
19,8190.35,1.22693,1.16301,1.3971,0.55204,0.64848,0.62432,0.3026,1.56595,1.38354,1.78287,0.000585032,0.000585032,0.000585032
20,8632.41,1.206,1.1796,1.39163,0.63056,0.62373,0.65453,0.33129,1.64307,1.41308,1.82594,0.000567034,0.000567034,0.000567034
21,9084.16,1.18415,1.15285,1.38421,0.62149,0.68855,0.68919,0.35417,1.51218,1.13607,1.76139,0.000549036,0.000549036,0.000549036
22,9524.15,1.20047,1.12219,1.3729,0.61217,0.65808,0.68919,0.35752,1.46814,1.17123,1.74151,0.000531038,0.000531038,0.000531038
23,9958.37,1.19895,1.14956,1.40924,0.62487,0.75333,0.69846,0.35037,1.60627,1.1963,1.81281,0.00051304,0.00051304,0.00051304
24,10384.4,1.19157,1.07411,1.35163,0.6221,0.69719,0.7093,0.36874,1.44982,1.12377,1.68568,0.000495041,0.000495041,0.000495041
25,10827.6,1.18572,1.10714,1.38988,0.64777,0.67654,0.70737,0.37436,1.523,1.1257,1.73732,0.000477043,0.000477043,0.000477043
26,11265,1.17398,1.1016,1.38296,0.59503,0.73968,0.72645,0.37297,1.43061,1.11822,1.6938,0.000459045,0.000459045,0.000459045
27,11696.7,1.155,1.06956,1.37051,0.62121,0.74162,0.73431,0.37535,1.60238,1.13419,1.84126,0.000441047,0.000441047,0.000441047
28,12119.9,1.15325,1.05531,1.35932,0.61604,0.69524,0.69409,0.37601,1.43399,1.09455,1.67318,0.000423049,0.000423049,0.000423049
29,12544.1,1.12245,1.01308,1.33617,0.62002,0.66063,0.69136,0.34735,1.60969,1.08728,1.83566,0.00040505,0.00040505,0.00040505
30,12964.1,1.10949,0.97955,1.31644,0.61511,0.74746,0.7412,0.3789,1.42233,1.08767,1.73397,0.000387052,0.000387052,0.000387052
31,13383.1,1.1258,0.99022,1.32737,0.70231,0.66613,0.74861,0.39654,1.36578,1.02378,1.62908,0.000369054,0.000369054,0.000369054
32,13816.8,1.08953,0.96755,1.32857,0.70946,0.69157,0.74108,0.37895,1.48246,1.06968,1.68024,0.000351056,0.000351056,0.000351056
33,14239.3,1.11078,0.95104,1.31448,0.70148,0.70759,0.75215,0.39887,1.44588,1.02665,1.66338,0.000333058,0.000333058,0.000333058
34,14670.4,1.09854,0.98055,1.33659,0.66953,0.7812,0.75561,0.39542,1.46842,1.00986,1.68312,0.000315059,0.000315059,0.000315059
35,15095.4,1.08931,0.94812,1.31326,0.69549,0.76009,0.76655,0.4109,1.3767,1.01631,1.58501,0.000297061,0.000297061,0.000297061
36,15531.6,1.07903,0.9182,1.28729,0.69952,0.72416,0.72959,0.38503,1.44279,0.9854,1.65338,0.000279063,0.000279063,0.000279063
37,15980,1.04317,0.898,1.27482,0.73124,0.73119,0.7618,0.40347,1.39616,0.94865,1.61505,0.000261065,0.000261065,0.000261065
38,16457.1,1.05488,0.91714,1.29882,0.72184,0.75757,0.77088,0.40423,1.40259,1.03862,1.63049,0.000243067,0.000243067,0.000243067
39,16880.8,1.05893,0.90426,1.29947,0.69255,0.77197,0.76419,0.39019,1.40423,0.99992,1.65557,0.000225068,0.000225068,0.000225068
40,17301.9,1.02929,0.86849,1.256,0.73748,0.72498,0.75626,0.40692,1.32366,0.9628,1.60014,0.00020707,0.00020707,0.00020707
41,17728.6,0.99116,0.87594,1.28931,0.70805,0.70899,0.72766,0.36001,1.49553,1.09125,1.73076,0.000189072,0.000189072,0.000189072
42,18149.5,0.97788,0.84694,1.29184,0.66934,0.78224,0.76244,0.39571,1.39834,0.99478,1.66447,0.000171074,0.000171074,0.000171074
43,18572.6,0.95443,0.78721,1.27078,0.68868,0.77866,0.75634,0.40132,1.41763,0.96673,1.65754,0.000153076,0.000153076,0.000153076
44,19001.9,0.97226,0.78956,1.2852,0.71593,0.78053,0.77428,0.41064,1.34512,0.95509,1.62289,0.000135077,0.000135077,0.000135077
45,19426.8,0.94245,0.74927,1.26158,0.72195,0.75748,0.77748,0.40673,1.37984,0.96555,1.66091,0.000117079,0.000117079,0.000117079
46,19861.4,0.93407,0.75407,1.24174,0.78527,0.71355,0.78534,0.41745,1.36532,0.96124,1.63375,9.9081e-05,9.9081e-05,9.9081e-05
47,20279.9,0.9087,0.7086,1.21956,0.75373,0.76093,0.78796,0.41354,1.40978,0.96129,1.6746,8.10828e-05,8.10828e-05,8.10828e-05
48,20696.5,0.91094,0.70857,1.22959,0.78163,0.72777,0.7881,0.41451,1.36494,0.95687,1.63364,6.30846e-05,6.30846e-05,6.30846e-05
49,21115,0.90692,0.70457,1.21373,0.73724,0.77189,0.79644,0.42145,1.35922,0.94322,1.62832,4.50864e-05,4.50864e-05,4.50864e-05
50,21536.2,0.89252,0.70205,1.21616,0.81996,0.70618,0.7931,0.4171,1.38027,0.93632,1.6471,2.70882e-05,2.70882e-05,2.70882e-05
